Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand,Price,Price_Currency,Price_URL,Price_Confidence,Price_Title
MCHOSE,G3 Pro,MCHOSE G3 Pro,Small,116.5,62.9,38.2,60.0,Symmetrical,Right,Back - moderate,Inward - moderate,Flat,No,No,PAW3395,Optical,Centered (53%),26000.0,1000.0,650.0,50.0,2.0,1.0,No,,Silver,Plastic,Wireless,PixArt,-,TTC,29.99,USD,,0.5,
Rapoo,VT3 Pro Max,Rapoo VT3 Pro Max,Large,123.0,66.0,42.0,59.0,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (55%),30000.0,8000.0,750.0,50.0,2.0,1.0,No,D2FC-F-K(60M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,26.99,USD,,0.5,
Rapoo,VT3 Pro,Rapoo VT3 Pro,Large,123.0,66.0,42.0,59.0,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3998,Optical,Forward (55%),26000.0,8000.0,650.0,50.0,2.0,1.0,No,D2FC-F-K(60M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,26.99,USD,,0.5,
G-Wolves,HT-S2 8K,G-Wolves HT-S2 8K,Small,110.0,61.0,37.0,33.0,Symmetrical,Right,Back - minimal,Outward - slight,Flat,No,No,PAW3395,Optical,Forward (60%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,139.0,USD,,0.5,
Kysona,M511,Kysona M511,Medium,121.0,61.0,40.0,58.0,Ergonomic,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Forward (56%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Purple Shell White Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,9.99,USD,,0.5,
Darmoshark,N5,Darmoshark N5,Medium,123.0,68.0,40.0,57.0,Ergonomic,Right,Back - minimal,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (50%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Dustproof Gold 60M,Gold,Plastic,Wireless,PixArt,TTC,TTC,42.99,USD,,0.5,
Monka,M3 Pro,Monka M3 Pro,Medium,119.8,63.0,38.1,53.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (55%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,49.0,USD,,0.5,
Monka,M3,Monka M3,Medium,119.8,63.0,38.1,53.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (55%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,41.99,USD,,0.5,
Fantech,Helios II Pro S,Fantech Helios II Pro S,Medium,120.0,64.0,38.3,55.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,17.99,USD,,0.5,
Incott,G23 Pro,Incott G23 Pro,Large,126.0,63.5,39.9,65.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950ES-KING,Optical,Centered (53%),45000.0,8000.0,750.0,50.0,2.0,1.0,Yes,Transparent Blue Shell Pink Dot Huano Black Shell Blue Dot Huano Transparent Green Shell White Dot Huano Silent Brown Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,94.99,USD,,0.5,
Incott,G23,Incott G23,Large,126.0,63.5,39.9,65.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (53%),32000.0,1000.0,650.0,50.0,2.0,1.0,Yes,Transparent Blue Shell Pink Dot Huano Black Shell Blue Dot Huano Transparent Green Shell White Dot Huano Silent Brown Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,29.99,USD,,0.5,
Glorious,Model D 2 Wired,Glorious Model D 2 Wired,Large,127.0,67.0,43.0,58.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,BAMF 2.0,Optical,Centered (51%),26000.0,1000.0,650.0,50.0,2.0,1.0,No,Mouse Switches,Encoder,Plastic,Wired,Glorious,Glorious,F-Switch,49.99,USD,,0.5,
AJAZZ,AJ159APEX,AJAZZ AJ159APEX,Medium,118.1,63.1,37.7,56.0,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3950 APEX,Optical,Forward (56%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,59.49,USD,,0.5,
AJAZZ,AJ159 PRO,AJAZZ AJ159 PRO,Medium,118.1,63.1,37.7,56.0,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Forward (56%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,39.35,USD,,0.5,
AJAZZ,AJ159P,AJAZZ AJ159P,Medium,118.1,63.1,37.7,56.0,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Forward (56%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,36.54,USD,,0.5,
AJAZZ,AJ159,AJAZZ AJ159,Medium,118.1,63.1,37.7,56.0,Symmetrical,Right,Back - moderate,Flat,Inward,No,No,PAW3395,Optical,Forward (56%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,35.99,USD,,0.5,
Rapoo,VT1 Pro Max,Rapoo VT1 Pro Max,Medium,119.0,62.0,38.0,59.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3950,Optical,Centered (52%),30000.0,8000.0,750.0,50.0,2.0,2.0,No,D2FC-F-K(60M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,26.99,USD,,0.5,
Rapoo,VT1 Air Max,Rapoo VT1 Air Max,Medium,119.0,62.0,38.0,50.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3950,Optical,Centered (52%),30000.0,8000.0,750.0,50.0,2.0,2.0,No,D2FC-F-K(60M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,49.99,USD,,0.5,
Glorious,Model O Pro,Glorious Model O Pro,Large,128.0,66.0,38.0,55.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,BAMF,Optical,Forward (55%),19000.0,1000.0,400.0,50.0,2.0,1.0,No,Mouse Switches,Encoder,Plastic,Wireless,Glorious,Glorious,F-Switch,34.44,USD,,0.5,
Rapoo,VT1 Pro,Rapoo VT1 Pro,Medium,119.0,62.0,38.0,59.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3398,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,2.0,No,D2FC-F-K(60M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,26.99,USD,,0.5,
Glorious,Series One Pro,Glorious Series One Pro,Medium,118.5,62.0,38.0,50.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,BAMF,Optical,Forward (54%),19000.0,1000.0,400.0,50.0,2.0,1.0,No,Mouse Switches,Encoder,Plastic,Wireless,Glorious,Glorious,F-Switch,56.54,USD,,0.5,
Attack,Shark R3,Attack Shark R3,Medium,119.6,60.9,36.2,46.0,Symmetrical,Right,Back - minimal,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (55%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,GM 8.0,Unspecified,Magnesium (metal),Wireless,PixArt,Kailh,TTC,76.79,USD,,0.5,
ATK,X1 Ultra,ATK X1 Ultra,Large,127.0,64.0,40.0,54.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,94.87,USD,,0.5,
ATK,X1 Pro Max,ATK X1 Pro Max,Large,127.0,64.0,40.0,54.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (51%),36000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,94.98,USD,,0.5,
ATK,X1 Pro,ATK X1 Pro,Large,127.0,64.0,40.0,49.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (51%),36000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,94.98,USD,,0.5,
ATK,F1 Ultimate,ATK F1 Ultimate,Medium,118.2,62.4,38.8,38.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,122.98,USD,,0.5,
ATK,F1 Pro Max,ATK F1 Pro Max,Medium,118.2,62.4,38.8,50.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950,Optical,Centered (51%),36000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,84.98,USD,,0.5,
ATK,F1 Pro,ATK F1 Pro,Medium,118.2,62.4,38.8,45.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950,Optical,Centered (51%),36000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,77.38,USD,,0.5,
Pwnage,StormBreaker,Pwnage StormBreaker,Medium,122.0,64.0,42.0,50.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Adjustable (48-62%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,D2FC-F-7N(20M),Gold,Magnesium (metal),Wireless,PixArt,Omron,TTC,129.0,USD,,0.5,
Razer,Viper V3 Pro,Razer Viper V3 Pro,Large,127.1,63.9,39.9,54.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,Focus Pro Gen-2,Optical,Centered (53%),35000.0,8000.0,750.0,70.0,2.0,0.0,No,Optical Mouse Switches Gen-3,Silver,Plastic,Wireless,Razer,Razer,TTC,155.99,USD,,0.5,
WLmouse,Beast X 8K,WLmouse Beast X 8K,Medium,122.0,62.0,37.0,39.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Optical TTC Nihil Transparent Black Dot,Silver,Magnesium (metal),Wireless,PixArt,Omron,TTC,155.0,USD,,0.5,
G-Wolves,HTR 8K,G-Wolves HTR 8K,Fingertip,92.0,57.0,35.0,26.0,Symmetrical,Right,Back - aggressive,Inward - slight,Flat,No,No,PAW3395,Optical,Forward (55%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,129.0,USD,,0.5,
Delux,M900 Pro,Delux M900 Pro,Large,126.6,69.0,41.8,63.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (58%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Encoder,Plastic,Wireless,PixArt,Huano,F-Switch,49.99,USD,,0.5,
MCHOSE,A5 Ultra,MCHOSE A5 Ultra,Medium,121.6,61.5,37.7,59.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Forward (56%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,D2FC-F-K(60M),Gold,Plastic,Wireless,PixArt,Omron,TTC,54.99,USD,,0.5,
ASUS,ROG Keris II Ace,ASUS ROG Keris II Ace,Medium,121.0,67.0,42.0,54.0,Ergonomic,Right,Center,Outward - moderate,Inward,No,No,ROG AimPoint Pro,Optical,Centered (53%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,ROG Optical Micro Switches,Gold,Plastic,Wireless,ASUS,ASUS,TTC,129.99,USD,,0.5,
Metaphyuni,Metapanda P1 Pro Max,Metaphyuni Metapanda P1 Pro Max,Medium,123.0,65.1,41.0,65.0,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (57%),26000.0,4000.0,650.0,50.0,2.0,1.0,No,Sword GM X,Gold,Plastic,Wireless,PixArt,Kailh,TTC,49.99,USD,,0.5,
Metaphyuni,Metapanda P1 Pro,Metaphyuni Metapanda P1 Pro,Medium,123.0,65.1,41.0,65.0,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (57%),26000.0,4000.0,650.0,50.0,2.0,1.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,77.28,USD,,0.5,
Metaphyuni,Metapanda P1,Metaphyuni Metapanda P1,Medium,123.0,65.1,41.0,60.0,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (57%),26000.0,1000.0,650.0,50.0,2.0,1.0,No,GM 8.0,Silver,Plastic,Wireless,PixArt,Kailh,TTC,29.99,USD,,0.5,
LAMZU,MAYA 4K,LAMZU MAYA 4K,Medium,119.0,62.0,38.0,45.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Silver,Plastic,Wireless,PixArt,Huano,TTC,9.98,USD,,0.5,
AJAZZ,AJ199 Pro 4K,AJAZZ AJ199 Pro 4K,Medium,119.8,63.4,39.7,59.0,Ergonomic,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (48%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,26.39,USD,,0.5,
Darmoshark,M3 XS,Darmoshark M3 XS,Small,116.0,60.4,36.0,44.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Mechanical Switches,Gold,Plastic,Wireless,PixArt,Unspecified,TTC,69.99,USD,,0.5,
Darmoshark,M2,Darmoshark M2,Small,115.8,60.4,36.1,39.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Azure Dragon,Gold,Magnesium (metal),Wireless,PixArt,TTC,TTC,99.99,USD,,0.5,
Dareu,A980 Pro,Dareu A980 Pro,Large,129.0,72.0,40.0,62.0,Ergonomic,Right,Center,Flat,Inward,Yes,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,3.0,0.0,No,Mechanical Switches,Mechanical Encoder,Plastic,Wireless,PixArt,Unspecified,Unspecified,59.99,USD,,0.5,
Zaopin,Z2,Zaopin Z2,Medium,123.0,64.3,39.5,65.0,Ergonomic,Right,Center,Flat,Flat,No,No,PAW3395,Optical,Forward (57%),26000.0,4000.0,650.0,50.0,2.0,0.0,Yes,Dustproof Gold 60M,Gold,Plastic,Wireless,PixArt,TTC,TTC,14.99,USD,,0.5,
Corsair,M75 Air Wireless,Corsair M75 Air Wireless,Large,128.0,65.0,41.6,60.0,Symmetrical,Right,Center,Inward - slight,Flat,No,No,MARKSMAN 26K,Optical,Forward (55%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,Corsair,TTC,ChangFeng,50.99,USD,,0.5,
Incott,GHERO,Incott GHERO,Medium,118.6,66.0,38.6,60.0,Hybrid,Right,Back - moderate,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (56%),32000.0,8000.0,650.0,50.0,2.0,1.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,39.99,USD,,0.5,
Attack,Shark X3 Pro,Attack Shark X3 Pro,Medium,118.5,61.0,39.7,59.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,GM 8.0 Blue,Unspecified,Plastic,Wireless,PixArt,Kailh,TTC,37.79,USD,,0.5,
Ninjutso,Sora V2,Ninjutso Sora V2,Medium,119.2,59.8,37.7,39.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,34.99,USD,,0.5,
Logitech,G Pro X Superlight,Logitech G Pro X Superlight,Large,125.0,63.5,40.0,63.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,HERO 25K,Optical,Centered (53%),25600.0,1000.0,400.0,40.0,2.0,0.0,No,D2FC-F-7N(G),Silver,Plastic,Wireless,Logitech,Omron,TTC,94.99,USD,,0.5,
Kysona,Aztec,Kysona Aztec,Medium,118.3,61.8,39.6,55.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,-,26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Purple Shell White Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,36.99,USD,,0.5,
AJAZZ,AJ199 4K,AJAZZ AJ199 4K,Medium,118.0,61.6,38.6,65.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (56%),26000.0,4000.0,650.0,50.0,2.0,1.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,26.39,USD,,0.5,
ThundeRobot,ML602,ThundeRobot ML602,Large,126.6,63.8,39.8,64.0,Symmetrical,Right,Back - minimal,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (60%),26000.0,1000.0,650.0,50.0,2.0,1.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,19.99,USD,,0.5,
Rapoo,VT9 Air,Rapoo VT9 Air,Medium,120.1,65.8,37.5,59.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,8000.0,650.0,50.0,2.0,2.0,No,D2FC-F-K(60M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,26.99,USD,,0.5,
AJAZZ,AJ139 Pro 4K,AJAZZ AJ139 Pro 4K,Large,125.4,63.3,38.2,65.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Forward (61%),26000.0,4000.0,650.0,50.0,2.0,1.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,36.79,USD,,0.5,
Monka,G995W,Monka G995W,Medium,123.0,61.0,39.0,58.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (52%),26000.0,1000.0,650.0,50.0,2.0,1.0,No,GM 8.0,Mechanical Encoder,Plastic,Wireless,PixArt,Kailh,Unspecified,23.99,USD,,0.5,
LAMZU,x Fnatic Thorn 4K,LAMZU x Fnatic Thorn 4K,Medium,119.0,65.0,42.0,52.0,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Optical,Silver,Plastic,Wireless,PixArt,RAESHA,TTC,99.99,USD,,0.5,
LAMZU,Thorn 4K,LAMZU Thorn 4K,Medium,119.0,65.0,42.0,52.0,Ergonomic,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Optical,Silver,Plastic,Wireless,PixArt,RAESHA,TTC,96.99,USD,,0.5,
G-Wolves,HSK Plus 4K,G-Wolves HSK Plus 4K,Fingertip,89.0,58.5,36.0,38.0,Symmetrical,Right,Back - aggressive,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (51%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,DF3-P1L1,Gold,Plastic,Wireless,PixArt,Zippy,TTC,49.0,USD,,0.5,
G-Wolves,HSK Plus Lite,G-Wolves HSK Plus Lite,Fingertip,89.0,58.5,36.0,38.0,Symmetrical,Right,Back - aggressive,Outward - slight,Flat,No,No,PAW3399,Optical,Centered (51%),20000.0,1000.0,650.0,50.0,2.0,0.0,No,DF3-P1L1,Gold,Plastic,Wireless,PixArt,Zippy,TTC,59.0,USD,,0.5,
